更新时间,#genre#
20240622-09-29-37,url


央视频道,#genre#
CCTV2,http://116.5.169.184:8884/udp/239.77.1.158:5146#http://183.54.209.215:9999/udp/239.77.0.137:5146#http://121.13.85.231:8000/udp/239.77.0.137:5146#http://119.125.135.202:11/udp/239.77.0.137:5146#http://61.184.128.243:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8#http://113.68.179.40:4022/udp/239.77.0.137:5146#http://119.125.135.202:11/udp/239.77.1.158:5146#http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://183.0.186.131:9900/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://218.19.111.194:9999/udp/239.77.0.137:5146#http://223.112.219.174:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://119.135.1.161:9999/udp/239.77.0.137:5146#http://61.140.234.179:4000/udp/239.77.1.158:5146
CCTV2,http://120.84.121.199:808/hls/103/index.m3u8
CCTV2,http://110.178.52.111:8083/udp/239.1.1.8:8008
CCTV2,http://123.138.216.44:9902/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://110.178.44.116:8084/udp/239.1.1.8:8008
CCTV2,http://183.184.204.165:8082/rtp/226.0.2.154:9144
CCTV2,http://110.185.239.180:8888/udp/239.93.1.23:6000
CCTV2,http://183.184.204.165:8083/rtp/226.0.2.154:9144
CCTV2,http://113.110.72.52:808/hls/115/index.m3u8
CCTV2,http://110.178.52.111:8084/udp/239.1.1.8:8008
CCTV2,http://59.34.139.143:4000/udp/239.77.0.137:5146
CCTV2,http://116.31.166.176:1688/udp/239.77.0.137:5146
CCTV2,http://116.31.166.176:1688/udp/239.253.43.17:5146
CCTV2,http://59.34.139.143:4000/udp/239.77.1.158:5146
CCTV2,http://116.31.166.176:1688/udp/239.77.1.158:5146
CCTV2,http://113.110.72.52:8090/hls/115/index.m3u8
CCTV2,http://125.122.11.106:9999/udp/233.50.201.119:5140
CCTV2,http://59.34.139.143:4000/udp/239.253.43.17:5146
CCTV2,http://59.48.75.130:3052/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://58.23.26.184:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://183.0.186.131:9900/tsfile/live/0002_1.m3u8
CCTV2,http://120.84.121.113:808/hls/103/index.m3u8
CCTV2,http://116.5.169.184:8884/udp/239.77.1.158:5146
CCTV2,http://113.206.114.34:8002/udp/225.0.4.132:7980
CCTV2,http://211.158.152.48:8008/udp/225.0.4.132:7980
CCTV2,http://113.206.114.34:8001/udp/225.0.4.132:7980
CCTV2,http://116.135.5.219:8082/rtp/226.0.2.154:9144
CCTV2,http://171.118.223.183:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://36.40.237.57:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://58.51.111.46:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://110.178.52.111:8082/udp/239.1.1.8:8008
CCTV2,http://01e117.netsite.cc/proxy/1486446687/1486446687.m3u8
CCTV2,http://171.108.239.77:8181/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://113.206.114.34:8003/udp/225.0.4.132:7980
CCTV2,http://110.184.114.89:4022/udp/239.93.1.23:6000
CCTV2,http://27.11.54.11:8001/udp/225.0.4.132:7980
CCTV2,http://116.5.169.184:8884/udp/239.253.43.17:5146
CCTV2,http://61.51.140.138:8888/rtp/239.3.1.60:8084
CCTV2,http://125.122.11.106:9999/udp/233.50.200.25:5140
CCTV3,http://1.80.231.46:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://110.178.44.116:8084/udp/239.1.1.9:8009
